FCLT_CD,GRND_UDGD_SE,ORTM_UTLZ_TYPE,SGG_CD,FCLT_SE_CD,ROAD_NM_CD,LOT_MIN,SHNT_PSBLTY_NOPE,FCLT_SCL,LOT_SEC,EMD_NM,FCLT_ADDR_RONA,SE_CD,OPN_YN,LAT_SEC,LAT_PROVIN,LAT_MIN,MNG_INST_TELNO,FCLT_NM,FCLT_DSGN_DAY,MNG_INST_NM,FCLT_ADDR_LOTNO,SCL_UNIT,LOT_PROVIN,EMD_CD
S199500003,1,주차장,3680000,3           ,4304105     ,26,3144,2594,8,신탄진동,"대전광역시 대덕구 대청로64번길 11 (신탄진동, 라이프새여울아파트)",2,Y,10,36,27,042-608-6420,라이프새여울아파트 지하주차장 1층,19950101,대전광역시 대덕구청,대전광역시 대덕구 신탄진동 22번지 1호,㎡,127,3680031     
S200500016,1,기타,3680000,3           ,4304488     ,24,2207,1821,43,오정동,"대전광역시 대덕구 한밭대로1033번길 15 (오정동, 신동아아파트)",2,Y,33,36,21,,신동아아파트 1동 지하 1층,19900101,대전광역시 대덕구청,대전광역시 대덕구 오정동 635번지 1호,㎡,127,3680024     
E198100002,0,생활용수,3680000,1           ,4304487     ,24,0,100,48,오정동,"대전광역시 대덕구 한밭대로1024번길 20 (오정동, 화정초등학교)",1,Y,25,36,21,,화정초등학교,19810712,대전광역시 대덕구청,대전광역시 대덕구 오정동 93번지 1호,t(톤),127,3680024     
E202000001,0,식수,3680000,1           ,4304397     ,24,0,100,47,오정동,대전광역시 대덕구 오정로76번길 63 (오정동),1,Y,15,36,21,,통매바위어린이공원,20201109,대전광역시 대덕구청,대전광역시 대덕구 오정동 274-1,t(톤),127,3680024     
S199800006,1,주차장,3680000,3           ,3168004     ,24,31183,25726,10,대화동,"대전광역시 대덕구 대화로 160 (대화동, 산업용재유통상가)",2,Y,54,36,21,,대전산업용재유통상가 지하주차장 1층,19980101,대전광역시 대덕구청,대전광역시 대덕구 대화동 289번지 1호,㎡,127,3680025     
S199900019,1,지하주차장,3680000,3           ,3168001     ,26,7101,5859,41,송촌동,"대전광역시 대덕구 계족산로 135 (송촌동, 선비마을4단지아파트)",2,Y,59,36,21,042-608-6270,"선비마을아파트 405동 지하주차장 1, 2층",19990101,대전광역시 대덕구청,대전광역시 대덕구 송촌동 462 선비마을4단지아파트,㎡,127,3680047     
S199900020,1,지하주차장,3680000,3           ,3168001     ,26,1025,846,41,송촌동,"대전광역시 대덕구 계족산로 135 (송촌동, 선비마을4단지아파트)",2,Y,59,36,21,042-608-6270,선비마을아파트 408동 지하주차장 1층,19990101,대전광역시 대덕구청,대전광역시 대덕구 송촌동 462 선비마을4단지아파트,㎡,127,3680047     
S201600002,1,지하주차장,3480000,3           ,4244670     ,27,9656,7967,19,현풍읍,대구광역시 달성군 현풍읍 테크노북로4길 11(대구테크노폴리스남해오네뜨1차),2,Y,45,35,41,053-668-2890,테크노폴리스 남해오네뜨 1차 아파트 지하1~2층,20160316,대구광역시 달성군청,대구광역시 달성군 현풍읍 중리 480 대구테크노폴리스남해오네뜨1차,㎡,128,3480374     
S201700039,1,지하주차장,3480000,3           ,4244668     ,27,9010,7434,1,현풍읍,대구광역시 달성군 현풍읍 테크노북로2길 10(대구테크노폴리스엘에이치천년나무1단지),2,Y,30,35,41,053-668-2890,테크노폴리스 LH천년나무1단지 아파트 지하1층,20170426,대구광역시 달성군청,대구광역시 달성군 현풍읍 중리 487 대구테크노폴리스엘에이치천년나무1단지,㎡,128,3480374     
S201700040,1,지하주차장,3480000,3           ,4244668     ,27,12647,10434,8,현풍읍,대구광역시 달성군 현풍읍 테크노북로2길 30(대구테크노폴리스엘에이치천년나무2단지),2,Y,29,35,41,053-668-2890,테크노폴리스 LH천년나무2단지 아파트 지하1층,20170420,대구광역시 달성군청,대구광역시 달성군 현풍읍 중리 488 대구테크노폴리스엘에이치천년나무2단지,㎡,128,3480374     
S201700041,1,지하주차장,3480000,3           ,3341006     ,27,12306,10153,18,현풍읍,대구광역시 달성군 현풍읍 테크노상업로 49(제일풍경채더퍼스트),2,Y,36,35,41,053-668-2890,테크노폴리스 제일풍경채더퍼스트 아파트 지하1층,20170424,대구광역시 달성군청,대구광역시 달성군 현풍읍 중리 484 제일풍경채더퍼스트,㎡,128,3480374     
S201700043,1,지하주차장,3480000,3           ,4244668     ,27,10469,8637,1,현풍읍,대구광역시 달성군 현풍읍 테크노북로2길 9(대구테크노폴리스일동미라주더파크),2,Y,32,35,41,053-668-2890,테크노폴리스 일동미라주 아파트 지하1층,20170427,대구광역시 달성군청,대구광역시 달성군 현풍읍 중리 485 대구테크노폴리스일동미라주더파크,㎡,128,3480374     
S201700062,1,지하주차장,3480000,3           ,4244670     ,27,5802,4787,21,현풍읍,대구광역시 달성군 현풍읍 테크노북로4길 27(대구테크노폴리스엘에이치천년나무3단지),2,Y,40,35,41,053-668-2890,테크노폴리스 LH천년나무 3단지 아파트 지하1층,20171025,대구광역시 달성군청,대구광역시 달성군 현풍읍 중리 481 대구테크노폴리스엘에이치천년나무3단지,㎡,128,3480374     
E201900001,0,생활용수,3480000,3           ,4244594     ,26,0,95,32,현풍읍,대구광역시 달성군 현풍읍 현풍중앙로21길 2,1,Y,53,35,41,053-668-2890,청구목욕탕,20190523,대구광역시 달성군청,대구광역시 달성군 현풍읍 402번지 9호,t(톤),128,3480374     
S201700042,1,지하주차장,3480000,3           ,3341006     ,27,11006,9080,12,현풍읍,대구광역시 달성군 현풍읍 테크노상업로 33(대구테크노폴리스 서한이다음),2,Y,32,35,41,053-668-2890,테크노폴리스 서한이다음 아파트 지하1층,20170426,대구광역시 달성군청,대구광역시 달성군 현풍읍 중리 486 대구테크노폴리스 서한이다음,㎡,128,3480374     
E202100004,0,생활용수,3480000,3           ,3007026     ,26,0,90,25,현풍읍,대구광역시 달성군 현풍읍 비슬로 738,1,Y,10,35,42,053-668-2890,달성종합스포츠파크,20210511,대구광역시 달성군청,대구광역시 달성군 현풍읍 성하리 225-2,t(톤),128,3480374     
S202200001,1,의료시설,3480000,3           ,4244552     ,24,421,348,27,하빈면,"대구광역시 달성군 하빈면 하산길 123-23, 대구보훈요양원",2,Y,25,35,53,053-668-2890,대구보훈요양원 지하1층,20221201,대구광역시 달성군청,대구광역시 달성군 하빈면 하산리 420,㎡,128,3480024     
S201700061,1,기타,3480000,3           ,4244542     ,26,50,42,43,하빈면,"대구광역시 달성군 하빈면 하빈로84길 1, 하빈면사무소",2,Y,4,35,54,053-668-2890,하빈면사무소 지하1층,20171012,대구광역시 달성군청,대구광역시 달성군 하빈면 현내리 933-1 하빈면사무소,㎡,128,3480024     
S201200002,1,지하주차장,3480000,3           ,4244140     ,26,749,618,51,논공읍,대구광역시 달성군 논공읍 논공중앙로22길 12-0,2,Y,31,35,43,053-668-2890,평광행복타운 지하주차장 1층,20120611,대구광역시 달성군청,대구광역시 달성군 논공읍 남리 578번지 15호,㎡,128,3480042     
E199700003,0,식수,3480000,1           ,3148011     ,26,0,300,56,논공읍,대구광역시 달성군 논공읍 논공로 697-10,1,Y,46,35,43,053-668-2890,정부지원 민방위 비상급수시설(군민운동장내),19970101,대구광역시 달성군청,대구광역시 달성군 논공읍 북리 1번지 36호,t(톤),128,3480042     
E199100001,0,생활용수,3480000,3           ,4244446     ,26,0,90,46,논공읍,대구광역시 달성군 논공읍 용호로1길 5,1,Y,41,35,43,053-668-2890,대영사우나,19910107,대구광역시 달성군청,대구광역시 달성군 논공읍 북리 824번지 21호,t(톤),128,3480042     
S199600005,1,지하주차장,3480000,3           ,4244140     ,26,1493,1232,56,논공읍,대구광역시 달성군 논공읍 논공중앙로22길 36-0,2,Y,25,35,43,053-668-2890,우방연합아파트 지하주차장 1층,19960320,대구광역시 달성군청,대구광역시 달성군 논공읍 남리 615번지 5호,㎡,128,3480042     
S199600006,1,지하주차장,3480000,3           ,4244124     ,26,3949,3258,43,논공읍,대구광역시 달성군 논공읍 논공로23길 14-0,2,Y,52,35,43,053-668-2890,성원 아파트 지하주차장 1층,19960920,대구광역시 달성군청,대구광역시 달성군 논공읍 북리 803번지 4호,㎡,128,3480042     
S201000001,1,"회의,교육",3480000,3           ,3148026     ,25,658,543,54,논공읍,대구광역시 달성군 논공읍 달성군청로 33,2,Y,29,35,46,053-668-2890,달성군청 지하 1층,20101126,대구광역시 달성군청,대구광역시 달성군 논공읍 금포리 1313번지,㎡,128,3480042     
E202100005,1,식수,3480000,3           ,4244145     ,27,0,280,20,논공읍,대구광역시 달성군 논공읍 논공중앙로34길 35,1,Y,38,35,43,053-668-2890,대동공업,20211230,대구광역시 달성군청,대구광역시 달성군 논공읍 북리 1-40,t(톤),128,3480042     
S202200002,1,주차장,3480000,3           ,3148010     ,25,44801,36961,42,논공읍,대구광역시 달성군 논공읍 금포로 75-20(우신미가뷰 아파트),2,Y,12,35,46,053-668-2890,우신미가뷰 아파트 지하주차장 1~3층,20221230,대구광역시 달성군청,대구광역시 달성군 논공읍 금포리 1630 우신미가뷰 아파트,㎡,128,3480042     
S199700002,1,지하주차장,3480000,3           ,2007002     ,27,2739,2260,23,다사읍,대구광역시 달성군 다사읍 달구벌대로 770 (강창우방타운),2,Y,41,35,51,053-668-2890,강창우방아파트 지하주차장 1층~2층,19970924,대구광역시 달성군청,대구광역시 달성군 다사읍 매곡리 719번지 1호,㎡,128,3480043     
S199700001,1,지하주차장,3480000,3           ,4244368     ,29,9273,7651,60,다사읍,대구광역시 달성군 다사읍 서재로30길 17-0,2,Y,38,35,52,053-668-2890,서재보성1차 아파트 지하주차장 1~2층,19970522,대구광역시 달성군청,대구광역시 달성군 다사읍 서재리 145번지,㎡,128,3480043     
S201000002,1,지하주차장,3480000,3           ,4244205     ,27,2136,1763,24,다사읍,대구광역시 달성군 다사읍 매곡로14길 13-0,2,Y,58,35,51,053-668-2890,다사주공1단지 지하주차장 1층,20101206,대구광역시 달성군청,대구광역시 달성군 다사읍 매곡리 510번지,㎡,128,3480043     
S200600002,1,기타,3480000,3           ,2007002     ,27,2976,2456,57,다사읍,대구광역시 달성군 다사읍 달구벌대로 지하 888 (대실역),2,Y,24,35,51,053-668-2890,대구 대실역 지하1~3층,20060712,대구광역시 달성군청,대구광역시 달성군 다사읍 242번지 2호,㎡,128,3480043     
S201700011,1,지하주차장,3480000,3           ,3148038     ,27,1506,1243,48,다사읍,대구광역시 달성군 다사읍 왕선로 49 (강창동서아파트),2,Y,52,35,51,053-668-2890,강창동서아파트 지하주차장 1층,20170403,대구광역시 달성군청,대구광역시 달성군 다사읍 302번지,㎡,128,3480043     
S201700012,1,지하주차장,3480000,3           ,2007002     ,27,3115,2570,35,다사읍,대구광역시 달성군 다사읍 달구벌대로 802-1 (강창한서꼼빠니아타운),2,Y,40,35,51,053-668-2890,강창한서꼼빠니아 지하주차장 1층,20170403,대구광역시 달성군청,대구광역시 달성군 다사읍 719번지 3호,㎡,128,3480043     
S201700052,1,지하주차장,3480000,3           ,3007026     ,26,9753,8047,8,옥포읍,대구광역시 달성군 옥포읍 비슬로 1941 (대구옥포LH허브시티),2,Y,56,35,46,053-668-2890,옥포LH허브시티 아파트 지하 1층,20170428,대구광역시 달성군청,대구광역시 달성군 옥포읍 1099번지,㎡,128,3480373     
S201700053,1,지하주차장,3480000,3           ,3341010     ,26,13304,10976,29,옥포읍,대구광역시 달성군 옥포읍 돌미로 70 (옥포대성베르힐4단지),2,Y,49,35,46,053-668-2890,대성베르힐4단지 아파트 지하 1층,20170420,대구광역시 달성군청,대구광역시 달성군 옥포읍 2964번지,㎡,128,3480373     
E199700002,0,식수,3650000,1           ,4295334     ,23,0,345,46,유천1동,"대전광역시 중구 문화로99번길 5 (유천동, 버드내공원경로당)",1,Y,46,36,18,042-606-6036,버드내 샘물,19971019,대전광역시 중구청,대전광역시 중구 유천동 275번지 5호,t(톤),127,3650043     
S198200001,1,기타,3650000,3           ,3165047     ,25,2358,1946,1,대사동,"대전광역시 중구 문화로 282 (대사동, 충남대학교병원)",2,Y,3,36,19,042-606-7441,충남대학교병원 전체 동의 지하1층,19820101,대전광역시 중구청,대전광역시 중구 대사동 640번지,㎡,127,3650036     
S198900021,1,기타,3650000,3           ,3010024     ,24,309,256,57,대사동,대전광역시 중구 계룡로 934 (대사동),2,Y,10,36,19,042-606-7441,플래티늄 요양원 지하주차장,19890527,대전광역시 중구청,대전광역시 중구 대사동 248번지 357호,㎡,127,3650036     
E199300006,0,,3650000,3           ,3010024     ,25,0,280,1,대사동,대전광역시 중구 계룡로 945 (대사동),1,N,9,36,19,042-606-7441,김학영정형외과,19930910,대전광역시 중구청,대전광역시 중구 대사동 248번지 293호,t(톤),127,3650036     
E200500004,0,생활용수,3650000,3           ,3165010     ,26,0,190,2,문창동,"대전광역시 중구 문창로 55 (부사동, 대전문창초등학교)",1,Y,6,36,19,,문창초등학교,19771230,대전광역시 중구청,대전광역시 중구 부사동 94번지 15호,t(톤),127,3650059     
S201700018,1,지하주차장,3650000,3           ,3010023     ,23,2919,2409,58,태평1동,"대전광역시 중구 평촌로 111 (태평동, 태평아파트)",2,Y,24,36,19,042-606-7441,태평아파트 106동,20170628,대전광역시 중구청,대전광역시 중구 태평동 317번지,㎡,127,3650041     
S201700020,1,지하주차장,3650000,3           ,3010023     ,24,6092,5027,1,태평1동,"대전광역시 중구 평촌로 111 (태평동, 태평아파트)",2,Y,26,36,19,042-606-7441,태평아파트 109동,20170628,대전광역시 중구청,대전광역시 중구 태평동 317번지,㎡,127,3650041     
S201700009,1,주차장,3650000,3           ,3165028     ,23,3982,3285,58,태평1동,"대전광역시 중구 수침로 122 (태평동, 푸른뫼아파트)",2,Y,48,36,19,042-606-7441,푸른뫼아파트 107동,20170628,대전광역시 중구청,대전광역시 중구 태평동 254번지 4호,㎡,127,3650041     
S201700017,1,지하주차장,3650000,3           ,3010023     ,23,8340,6881,57,태평1동,"대전광역시 중구 평촌로 111 (태평동, 태평아파트)",2,Y,27,36,19,042-606-7441,태평아파트 104동,20170628,대전광역시 중구청,대전광역시 중구 태평동 317번지,㎡,127,3650041     
S201700019,1,지하주차장,3650000,3           ,3010023     ,24,7670,6328,1,태평1동,"대전광역시 중구 평촌로 111 (태평동, 태평아파트)",2,Y,25,36,19,042-606-7441,태평아파트 107동,20170628,대전광역시 중구청,대전광역시 중구 태평동 317번지,㎡,127,3650041     
S200800002,1,지하주차장,3650000,3           ,3165028     ,23,5126,4229,56,태평1동,"대전광역시 중구 수침로 138 (태평동, 유등마을아파트)",2,Y,59,36,19,042-606-6036,유등마을아파트 101동,20080415,대전광역시 중구청,대전광역시 중구 태평동 253번지 1호,㎡,127,3650041     
S200800003,1,지하주차장,3650000,3           ,3010023     ,23,6319,5214,55,태평1동,"대전광역시 중구 평촌로 111 (태평동, 태평아파트)",2,Y,25,36,19,042-606-6036,태평아파트 101동,20080415,대전광역시 중구청,대전광역시 중구 태평동 317번지,㎡,127,3650041     
S200800001,1,지하주차장,3650000,3           ,3165028     ,23,3475,2867,56,태평1동,"대전광역시 중구 수침로 122 (태평동, 푸른뫼아파트)",2,Y,49,36,19,042-606-6036,푸른뫼아파트 101동,20080415,대전광역시 중구청,대전광역시 중구 태평동 254번지 4호,㎡,127,3650041     
S200800011,1,주차장,3650000,3           ,3010023     ,23,26666,22000,49,태평1동,"대전광역시 중구 평촌로 93 (태평동, 쌍용예가아파트)",2,Y,25,36,19,042-606-6036,쌍용예가아파트,20081013,대전광역시 중구청,대전광역시 중구 태평동 554번지,㎡,127,3650041     
S201700007,1,주차장,3650000,3           ,3165028     ,23,3475,2867,57,태평1동,"대전광역시 중구 수침로 122 (태평동, 푸른뫼아파트)",2,Y,45,36,19,042-606-6036,푸른뫼아파트 103동,20170628,대전광역시 중구청,대전광역시 중구 태평동 254번지 4호,㎡,127,3650041     
S201700008,1,주차장,3650000,3           ,3165028     ,23,3859,3184,58,태평1동,"대전광역시 중구 수침로 122 (태평동, 푸른뫼아파트)",2,Y,46,36,19,042-606-6036,푸른뫼아파트 105동,20170628,대전광역시 중구청,대전광역시 중구 태평동 254번지 4호,㎡,127,3650041     
S201700010,1,지하주차장,3650000,3           ,3165028     ,23,6577,5426,55,태평1동,"대전광역시 중구 수침로 138 (태평동, 유등마을아파트)",2,Y,56,36,19,042-606-6036,유등마을아파트 104동,20170628,대전광역시 중구청,대전광역시 중구 태평동 253번지 1호,㎡,127,3650041     
S201700011,1,지하주차장,3650000,3           ,3165028     ,23,5126,4229,56,태평1동,"대전광역시 중구 수침로 138 (태평동, 유등마을아파트)",2,Y,54,36,19,042-606-6036,유등마을아파트 106동,20170628,대전광역시 중구청,대전광역시 중구 태평동 253번지 1호,㎡,127,3650041     
S201700012,1,지하주차장,3650000,3           ,3165028     ,23,4642,3830,56,태평1동,"대전광역시 중구 수침로 138 (태평동, 유등마을아파트)",2,Y,52,36,19,042-606-6036,유등마을아파트 108동,20170628,대전광역시 중구청,대전광역시 중구 태평동 253번지 1호,㎡,127,3650041     
S201700013,1,지하주차장,3650000,3           ,3165028     ,23,1518,1253,53,태평1동,"대전광역시 중구 수침로 138 (태평동, 유등마을아파트)",2,Y,55,36,19,042-606-6036,유등마을아파트 110동,20170628,대전광역시 중구청,대전광역시 중구 태평동 253번지 1호,㎡,127,3650041     
S201700014,1,지하주차장,3650000,3           ,3165028     ,23,2563,2115,54,태평1동,"대전광역시 중구 수침로 138 (태평동, 유등마을아파트)",2,Y,53,36,19,042-606-6036,유등마을아파트 111동,20170628,대전광역시 중구청,대전광역시 중구 태평동 253번지 1호,㎡,127,3650041     
S201700015,1,지하주차장,3650000,3           ,3165028     ,23,2563,2115,55,태평1동,"대전광역시 중구 수침로 138 (태평동, 유등마을아파트)",2,Y,51,36,19,042-606-6036,유등마을아파트 112동,20170628,대전광역시 중구청,대전광역시 중구 태평동 253번지 1호,㎡,127,3650041     
S201700016,1,지하주차장,3650000,3           ,3010023     ,23,4400,3630,54,태평1동,"대전광역시 중구 평촌로 111 (태평동, 태평아파트)",2,Y,28,36,19,042-606-6036,태평아파트 103동,20170628,대전광역시 중구청,대전광역시 중구 태평동 317번지,㎡,127,3650041     
E198100002,0,,3650000,2           ,3165019     ,26,0,70,16,석교동,"대전광역시 중구 사득로 68 (석교동, 남양아파트)",1,N,35,36,18,,남양아파트,19810604,대전광역시 중구청,대전광역시 중구 석교동 195번지,t(톤),127,3650035     
E199700004,0,,3650000,2           ,4295222     ,26,0,120,41,석교동,"대전광역시 중구 돌다리로7번길 52 (석교동, 석교경노당)",1,N,26,36,18,,범골샘물,19970614,대전광역시 중구청,대전광역시 중구 석교동 98번지 3호,t(톤),127,3650035     
S201100007,1,교육장,3650000,3           ,3010004     ,26,296,245,50,석교동,대전광역시 중구 대종로 175(석교동),2,Y,25,36,18,,대석침례교회 구관 지하 1층,20110826,대전광역시 중구청,대전광역시 중구 석교동 88-1,㎡,127,3650035     
S201100008,1,교육장,3650000,3           ,3010004     ,26,208,172,50,석교동,대전광역시 중구 대종로 175-0 (석교동),2,Y,25,36,18,,대석침례교회 신관 지하 1층,20110826,대전광역시 중구청,대전광역시 중구 석교동 88번지 1호,㎡,127,3650035     
S201100009,1,지하주차장,3650000,3           ,3010004     ,26,672,555,53,석교동,대전광역시 중구 대종로 159 (호동),2,Y,21,36,18,,황제장어나라 지하주차장 1층,20110826,대전광역시 중구청,대전광역시 중구 호동 11-2,㎡,127,3650035     
E199700005,0,식수,3650000,2           ,4295259     ,27,0,205,14,석교동,대전광역시 중구 모암로13번길 154 (옥계동),1,Y,50,36,17,,재마루샘물,19970608,대전광역시 중구청,대전광역시 중구 옥계동 197번지 3호,t(톤),127,3650035     
E201000001,0,생활용수,3360000,4           ,4208119     ,50,0,200,17,녹산동,부산광역시 강서구 과학산단로306번길 77 (지사동),1,Y,19,35,9,051-970-4680,(주)헤라컨트리클럽 1호정,20100624,부산광역시 강서구청,부산광역시 강서구 지사동 11번지,t(톤),128,3360031     
S200300041,1,주차장,4030000,3           ,3201025     ,58,4936,4073,17,오전동,"경기도 의왕시 오전로 150 (오전동, 동백아파트)",2,Y,25,37,21,,동백아파트 지하주차장(4~6) 1층,20030501,경기도 의왕시청,경기도 의왕시 오전동 849번지,㎡,126,4030029     
E200100200,0,식수,5090000,1           ,,38,0,250,20,상망동,,1,Y,35,36,49,054-639-5960,상망동 경일아파트 앞(웃무리마을 공원),20011114,경상북도 영주시청,경상북도 영주시 상망동 579-7 웃무리마을내 공원,t(톤),128,5090043     
S201000002,1,지하주차장,5090000,3           ,4727488     ,38,18196,15012,11,상망동,"경상북도 영주시 원당로225번길 67 (상망동, 코아루아파트)",2,Y,57,36,49,054-639-5960,코아루아파트 지하주차장 1층,20100716,경상북도 영주시청,경상북도 영주시 상망동 834 코아루아파트,㎡,128,5090043     
S199500002,1,지하주차장,5090000,3           ,4727487     ,38,1393,1150,0,상망동,"경상북도 영주시 원당로223번길 57, 1동 (하망동, 영남동산아파트)",2,Y,54,36,49,054-639-5960,영남동산아파트 1동 지하추자장 1층,19951208,경상북도 영주시청,경상북도 영주시 하망동 88 영남동산아파트 1동,㎡,128,5090043     
E200800001,0,식수,5090000,2           ,,38,0,100,3,상망동,,1,Y,2,36,50,054-639-5960,코아루아파트 뒤,20080717,경상북도 영주시청,경상북도 영주시 상망동 834번지 35호 해당번지 옆에 위치함,t(톤),128,5090043     
S201000005,1,주차장,3650000,3           ,4295540     ,23,2403,1983,34,유천1동,"대전광역시 중구 유천로33번길 106 (유천동, 유등탑스빌)",2,Y,52,36,18,042-606-6036,유등탑스빌,20100609,대전광역시 중구청,대전광역시 중구 유천동 331번지 10호,㎡,127,3650043     
E199300007,0,식수,3650000,1           ,4295037     ,23,0,350,40,유천1동,대전광역시 중구 계백로1571번길 46-12 (유천동),1,Y,13,36,19,042-606-6036,중평약수,19930808,대전광역시 중구청,대전광역시 중구 유천동 315번지 1호,t(톤),127,3650043     
E201300002,1,생활용수,3060000,4           ,3106004     ,5,0,30,36,면목본동,"서울특별시 중랑구 상봉로 59 (면목동, 유영빌딩)",1,Y,28,37,35,02-2094-2052,유영빌딩,20130311,서울특별시 중랑구청,서울특별시 중랑구 면목동 87번지 66호,t(톤),127,3060123     
E202000014,0,생활용수,3060000,3           ,3005029     ,5,0,50,24,면목본동,서울특별시 중랑구 겸재로 202 (면목동),1,Y,20,37,35,02-2094-2052,신성기사식당,20200506,서울특별시 중랑구청,서울특별시 중랑구 면목동 105-3,t(톤),127,3060123     
E202000013,0,생활용수,3060000,3           ,3106004     ,5,0,53,40,면목본동,서울특별시 중랑구 상봉로 11 (면목동),1,Y,13,37,35,02-2094-2052,닭곰탕 서일대본점,20200506,서울특별시 중랑구청,서울특별시 중랑구 면목동 68-11,t(톤),127,3060123     
S199500006,1,주차장,3060000,3           ,4118481     ,5,1566,1292,39,망우본동,"서울특별시 중랑구 용마산로115길 108 (망우동, 이안빌딩)",2,Y,53,37,35,02-2094-0720,이안빌딩(지하주차장 1층),19950101,서울특별시 중랑구청,서울특별시 중랑구 망우동 563번지 16호,㎡,127,3060125     
S201500002,1,지하주차장,3060000,3           ,4118165     ,6,2210,1824,5,망우본동,"서울특별시 중랑구 망우로67길 10 (망우동, 망우본동복합청사)",2,Y,2,37,36,02-2094-0720,망우본동 복합청사(지하1~2층),20150902,서울특별시 중랑구청,서울특별시 중랑구 망우동 340번지 17호,㎡,127,3060125     
S201600001,1,지하주차장,3060000,3           ,4118175     ,6,27010,22284,18,망우본동,"서울특별시 중랑구 망우로75길 19 (망우동, 중랑숲리가아파트)",2,Y,6,37,36,02-2094-0720,중랑숲리가아파트(지하주차장 1~2층),20160830,서울특별시 중랑구청,서울특별시 중랑구 망우동 583번지,㎡,127,3060125     
